no;sample_code;scheme;age_days;diameter;height;weight
1;a;0;1;150.7;301.4;225
2;b;0;1;150.48;302.1;225
3;c;0;1;151.54;302.45;220
4;d;0;3;148.8;303.1;410
5;e;0;3;148.76;302.4;380
6;f;0;3;149.57;300;430
7;g;0;7;149.93;301.6;470
8;h;0;7;149.48;301.6;445
9;i;0;7;150.61;300.4;545
10;j;0;28;151.28;302.7;590
11;k;0;28;150.05;301.4;635
12;l;0;28;149.65;302.15;540
13;a;1A;1;149.66;302.2;210
14;b;1A;1;149.77;304.65;200
15;c;1A;1;150.7;300.5;225
16;d;1A;3;150.57;304.6;315
17;e;1A;3;150.17;301.6;315
18;f;1A;3;149.44;300.5;340
19;g;1A;7;149.83;300.5;495
20;h;1A;7;149.28;303.2;495
21;i;1A;7;148.83;300.65;500
22;j;1A;28;150.38;305;620
23;k;1A;28;149.3;303.8;660
24;l;1A;28;149.1;302.2;540
25;a;1B;1;148.5;303;205
26;b;1B;1;149.78;304.9;195
27;c;1B;1;151.18;302;260
28;d;1B;3;149.48;302.45;415
29;e;1B;3;150.28;300.5;330
30;f;1B;3;150.63;304.4;360
31;g;1B;7;149.05;302.7;360
32;h;1B;7;150.55;304.65;505
33;i;1B;7;149.73;305;535
34;j;1B;28;148.95;301.2;680
35;k;1B;28;150.75;303.9;590
36;l;1B;28;149.25;302.9;705
37;a;1C;1;150.15;300.5;215
38;b;1C;1;149;301.1;235
39;c;1C;1;150.8;302.7;220
40;d;1C;3;149.3;301.6;385
41;e;1C;3;149.35;303.9;385
42;f;1C;3;150.7;299.65;405
43;g;1C;7;150.63;303.5;480
44;h;1C;7;149.95;300;500
45;i;1C;7;151.1;300.3;505
46;j;1C;28;149.5;303;595
47;k;1C;28;150.35;304;655
48;l;1C;28;148.95;300.5;700
49;a;2A;1;151.2;302;310
50;b;2A;1;150.1;302.2;315
51;c;2A;1;148.7;301.6;300
52;d;2A;3;150.15;300.8;490
53;e;2A;3;149;302.5;450
54;f;2A;3;150.35;300.1;545
55;g;2A;7;149.5;303.3;580
56;h;2A;7;149.8;302.4;500
57;i;2A;7;149.25;302.2;560
58;j;2A;28;150.8;301.4;725
59;k;2A;28;149.9;303;755
60;l;2A;28;150;300.2;815
61;a;2B;1;148.9;303.5;430
62;b;2B;1;149.4;303;375
63;c;2B;1;149.3;300.5;390
64;d;2B;3;150.3;300.5;610
65;e;2B;3;149.35;303;590
66;f;2B;3;149.4;300.3;620
67;g;2B;7;150;300.7;735
68;h;2B;7;150;301.4;695
69;i;2B;7;151.05;300;700
70;j;2B;28;150.4;299;900
71;k;2B;28;150;303.3;930
72;l;2B;28;150.65;299.3;940
73;a;2B-1;1;151.05;299.4;325
74;b;2B-1;1;150.3;300.25;330
75;c;2B-1;1;148.8;302.5;295
76;d;2B-1;3;149.5;301.3;455
77;e;2B-1;3;150.05;301.4;500
78;f;2B-1;3;150;302.8;555
79;g;2B-1;7;150.25;298;690
80;h;2B-1;7;148.9;302;570
81;i;2B-1;7;150;302;530
82;j;2B-1;28;150.15;301.4;740
83;k;2B-1;28;149.9;301.5;780
84;l;2B-1;28;148.85;303.6;705
85;a;2C;1;149.35;301;410
86;b;2C;1;149.4;303.3;455
87;c;2C;1;150.25;300.5;475
88;d;2C;3;150.25;303.4;610
89;e;2C;3;150;304;600
90;f;2C;3;151.2;301;640
91;g;2C;7;148.9;305;745
92;h;2C;7;150.45;301;890
93;i;2C;7;150.2;301.2;890
94;j;2C;28;148.95;301;910
95;k;2C;28;149.8;303;930
96;l;2C;28;149.5;303;905
97;a;3A;1;150.05;302.6;305
98;b;3A;1;150.2;300;340
99;c;3A;1;150;303;310
100;d;3A;3;149.25;300.5;400
101;e;3A;3;148.95;301.9;485
102;f;3A;3;150;303.6;485
103;g;3A;7;150.1;299.4;690
104;h;3A;7;150.5;299.7;655
105;i;3A;7;149;303.4;610
106;j;3A;28;148.95;300.5;690
107;k;3A;28;151.15;300;700
108;l;3A;28;150.3;299;660
109;a;3B;1;150.1;302.5;235
110;b;3B;1;149.8;305;275
111;c;3B;1;151.05;301.3;260
112;d;3B;3;151.7;303;400
113;e;3B;3;150.1;303;405
114;f;3B;3;149;302.5;415
115;g;3B;7;149.2;303;490
116;h;3B;7;149.3;301;405
117;i;3B;7;149.5;301;405
118;j;3B;28;149.4;302.5;600
119;k;3B;28;150.5;301;610
120;l;3B;28;150.4;299;645
121;a;3C;1;150.95;300.2;245
122;b;3C;1;149.35;302.4;215
123;c;3C;1;150.6;300;195
124;d;3C;3;150.55;299;435
125;e;3C;3;148.85;302.8;345
126;f;3C;3;150.5;302.2;380
127;g;3C;7;150.25;303.5;505
128;h;3C;7;151.25;300.3;400
129;i;3C;7;148.8;300.5;455
130;j;3C;28;149.5;303.5;475
131;k;3C;28;149.5;303;430
132;l;3C;28;149.85;301;530
