no;scheme;age_days;diameter;height
1;0;1;150;300
2;0;3;150;300
3;0;7;150;300
4;0;14;150;300
5;0;28;150;300
6;1A;1;150;300
7;1A;3;150;300
8;1A;7;150;300
9;1A;14;150;300
10;1A;28;150;300
11;1B;1;150;300
12;1B;3;150;300
13;1B;7;150;300
14;1B;14;150;300
15;1B;28;150;300
16;1C;1;150;300
17;1C;3;150;300
18;1C;7;150;300
19;1C;14;150;300
20;1C;28;150;300
21;2A;1;150;300
22;2A;3;150;300
23;2A;7;150;300
24;2A;14;150;300
25;2A;28;150;300
26;2B;1;150;300
27;2B;3;150;300
28;2B;7;150;300
29;2B;14;150;300
30;2B;28;150;300
31;2B-1;1;150;300
32;2B-1;3;150;300
33;2B-1;7;150;300
34;2B-1;14;150;300
35;2B-1;28;150;300
36;2C;1;150;300
37;2C;3;150;300
38;2C;7;150;300
39;2C;14;150;300
40;2C;28;150;300
41;3A;1;150;300
42;3A;3;150;300
43;3A;7;150;300
44;3A;14;150;300
45;3A;28;150;300
46;3B;1;150;300
47;3B;3;150;300
48;3B;7;150;300
49;3B;14;150;300
50;3B;28;150;300
51;3C;1;150;300
52;3C;3;150;300
53;3C;7;150;300
54;3C;14;150;300
55;3C;28;150;300
56;4B;1;150;300
57;4B;3;150;300
58;4B;7;150;300
59;4B;14;150;300
60;4B;28;150;300
61;4C;1;150;300
62;4C;3;150;300
63;4C;7;150;300
64;4C;14;150;300
65;4C;28;150;300
66;4D;1;150;300
67;4D;3;150;300
68;4D;7;150;300
69;4D;14;150;300
70;4D;28;150;300
71;5A;1;150;300
72;5A;3;150;300
73;5A;7;150;300
74;5A;14;150;300
75;5A;28;150;300
76;5B;1;150;300
77;5B;3;150;300
78;5B;7;150;300
79;5B;14;150;300
80;5B;28;150;300
81;5C;1;150;300
82;5C;3;150;300
83;5C;7;150;300
84;5C;14;150;300
85;5C;28;150;300
86;5D;1;150;300
87;5D;3;150;300
88;5D;7;150;300
89;5D;14;150;300
90;5D;28;150;300
91;6A;1;150;300
92;6A;3;150;300
93;6A;7;150;300
94;6A;14;150;300
95;6A;28;150;300
96;6B;1;150;300
97;6B;3;150;300
98;6B;7;150;300
99;6B;14;150;300
100;6B;28;150;300
