no,Skema,Umur (Hari),Diameter (mm),Tinggi (mm),Kebutuhan air (kg),fas,Kebutuhan semen (kg),Kebutuhan agregat halus (kg),Kebutuhan agregat kasar (kg),Kebutuhan sikacim (kg),Prediksi (kN)
1,0,1,150,300,205,0.50245098,408,715,1072,0.0,399.89375698933793
2,0,3,150,300,205,0.50245098,408,715,1072,0.0,424.836288106614
3,0,7,150,300,205,0.50245098,408,715,1072,0.0,474.72135034116627
4,0,14,150,300,205,0.50245098,408,715,1072,0.0,562.0202092516328
5,0,28,150,300,205,0.50245098,408,715,1072,0.0,736.6179270725655
6,1A,1,150,300,205,0.50245098,408,715,1072,0.816,397.6891098843589
7,1A,3,150,300,205,0.50245098,408,715,1072,0.816,422.631641001635
8,1A,7,150,300,205,0.50245098,408,715,1072,0.816,472.51670323618725
9,1A,14,150,300,205,0.50245098,408,715,1072,0.816,559.8155621466536
10,1A,28,150,300,205,0.50245098,408,715,1072,0.816,734.4132799675865
11,1B,1,150,300,205,0.50245098,408,715,1072,4.488,387.7681979119533
12,1B,3,150,300,205,0.50245098,408,715,1072,4.488,412.71072902922936
13,1B,7,150,300,205,0.50245098,408,715,1072,4.488,462.59579126378156
14,1B,14,150,300,205,0.50245098,408,715,1072,4.488,549.894650174248
15,1B,28,150,300,205,0.50245098,408,715,1072,4.488,724.4923679951809
16,1C,1,150,300,205,0.50245098,408,715,1072,8.16,377.84728593954765
17,1C,3,150,300,205,0.50245098,408,715,1072,8.16,402.7898170568237
18,1C,7,150,300,205,0.50245098,408,715,1072,8.16,452.67487929137593
19,1C,14,150,300,205,0.50245098,408,715,1072,8.16,539.9737382018424
20,1C,28,150,300,205,0.50245098,408,715,1072,8.16,714.5714560227752
21,2A,1,150,300,203,0.49754902,408,716,1073,0.816,405.74830113248385
22,2A,3,150,300,203,0.49754902,408,716,1073,0.816,430.69083224976
23,2A,7,150,300,203,0.49754902,408,716,1073,0.816,480.57589448431224
24,2A,14,150,300,203,0.49754902,408,716,1073,0.816,567.8747533947786
25,2A,28,150,300,203,0.49754902,408,716,1073,0.816,742.4724712157114
26,2B,1,150,300,174,0.426470588,408,727,1091,4.488,574.8295745864311
